user_id,betweenness,out_degree,in_degree,total_degree
341994,0.021656079495183438,8151,113,8264
97337,0.02014150272169373,4037,9,4046
1187415,0.01966361648942848,4289,7,4296
77567,0.014869589736806332,3159,2,3161
1271826,0.01328131407234995,5551,19,5570
1226963,0.01313464784365947,4719,55,4774
643383,0.011363073453063137,2530,19,2549
316469,0.010756031517390265,77,1118,1195
427083,0.009003002852102874,2315,60,2375
852828,0.008367797223836895,1778,33,1811
25646,0.00833901734223256,1773,0,1773
1987883,0.008223365151679441,3333,0,3333
205185,0.007688871820646173,4556,139,4695
418029,0.007415222380988396,546,810,1356
341750,0.006943772183721954,1698,61,1759
671858,0.006624339235826456,1380,3,1383
191596,0.006450289688658061,1335,1,1336
421018,0.006140473481130208,1244,416,1660
335858,0.005858660716551876,1671,19,1690
115730,0.005761449888455712,1277,44,1321
1082219,0.005649316737185044,290,949,1239
669586,0.005433137712620598,1758,17,1775
169346,0.005356142918948804,1269,0,1269
164216,0.005326212112548879,10,725,735
561395,0.00517311094453067,2,786,788
451475,0.005128409488818671,1870,25,1895
137350,0.005015913478105126,1082,21,1103
224988,0.004960378774715204,445,540,985
116862,0.004918915236017535,1207,21,1228
41116,0.004915899528284904,1230,34,1264
981049,0.0049151227134021655,1942,6,1948
457406,0.004613899523479666,1062,60,1122
1285133,0.0046087289400736815,2076,24,2100
309925,0.004592514971432358,1525,9,1534
19679,0.00452885217988022,1157,24,1181
356387,0.0044106081094035555,118,617,735
721937,0.004310468514381505,2,672,674
19875,0.004265255961153747,26,1151,1177
171206,0.004228247155496598,839,124,963
17279,0.0040898515365441175,683,235,918
207524,0.004032839874464458,3,631,634
6330,0.003974715867969699,1065,31,1096
294949,0.0038094525897943233,1344,38,1382
74118,0.003743784837959164,522,243,765
242769,0.0037400433617157535,54,842,896
104790,0.003737264660707667,931,5,936
50742,0.0037295400710014885,1168,2,1170
541786,0.0036233144510993717,246,655,901
121646,0.0035886395433195072,12,647,659
427292,0.003577934209633634,7,678,685
