user_id,betweenness,out_degree,in_degree,total_degree
188096,0.06746037840618373,2954,41,2995
6067741,0.054597995771193106,2018,47,2065
9455659,0.0348352478691432,1367,3,1370
1537195,0.03158548918472181,555,57,612
1658906,0.028688549228770843,1217,5,1222
1749403,0.02367102112818283,989,28,1017
3693060,0.02142611812277838,0,166,166
5471259,0.020428916603175296,3,209,212
2347999,0.0196009669924846,968,17,985
9833314,0.017693384803754698,1093,0,1093
7460777,0.017102377898625516,1376,0,1376
10185816,0.016226176470689968,1093,6,1099
932728,0.015185816519632994,638,10,648
7409220,0.014877160329577447,687,4,691
781754,0.014757629973290573,850,1,851
336378,0.013618179165687113,335,33,368
584239,0.013112872003904258,1,184,185
7073340,0.012513985156081368,181,65,246
1384539,0.011354753415397587,937,33,970
1406168,0.011175368841241906,0,113,113
1705266,0.010966126996043919,2,224,226
9773937,0.010603259396666165,1151,0,1151
1088979,0.010377396564685221,1,127,128
7005159,0.010267523367714323,942,0,942
8557999,0.009738234997822861,990,0,990
1501191,0.009643309144415352,34,99,133
261708,0.009253467201491285,0,192,192
665335,0.008831750367739229,0,121,121
6587650,0.008690624705448005,1125,1,1126
7114196,0.008414702188199643,0,130,130
11882186,0.008396277113807442,970,0,970
117700,0.008226635149287578,36,178,214
10505040,0.007947192070241468,865,0,865
80002,0.007784028381196199,3,149,152
13464420,0.0077724426444811335,1076,0,1076
1171619,0.007706080178501199,520,30,550
736079,0.00714662741063368,844,8,852
11508192,0.006649332940468859,883,0,883
475727,0.006595674581653343,3,110,113
1163423,0.006587109242526619,364,45,409
4167200,0.006463234995196884,461,33,494
59563,0.006323283454068303,543,35,578
8184139,0.006013782203276047,832,0,832
1223876,0.005685741473919183,1,79,80
11816733,0.005572806494466772,658,0,658
5272061,0.005355543828034873,1,122,123
457123,0.005351692582557398,1,95,96
5425825,0.005260684092099001,883,0,883
5391065,0.005239474241763344,706,0,706
41169,0.005095882821778333,2,105,107
