user_id,n_communities,total_out_degree,out_ai_ml,out_web_frontend,out_mobile,out_cloud_devops,out_databases
362536,5,1993,1,1635,104,37,216
1891677,5,1991,1,1965,21,1,3
541091,5,1989,1,515,8,1,1464
22656,5,1986,13,224,735,105,909
5947043,5,1979,1,1568,5,2,403
1920232,5,1969,1,125,11,3,1829
548225,5,1942,50,1610,64,67,151
6277151,5,1935,2,1881,29,21,2
1338292,5,1931,1,1457,23,12,438
2610061,5,1925,3,1546,4,3,369
704848,5,1923,1888,3,18,1,13
569436,5,1911,1,4,1,3,1902
147356,5,1908,11,12,9,1767,109
240443,5,1906,98,1509,63,12,224
1292848,5,1861,6,1702,147,2,4
3744304,5,1855,1,1848,2,2,2
3395198,5,1827,1,12,1723,4,87
341750,5,1818,84,33,1698,1,2
9661424,5,1813,2,1,3,3,1804
2310830,5,1813,1,505,35,8,1264
1016435,5,1808,1,7,1,1,1798
3603681,5,1792,1,1226,10,5,550
5424988,5,1789,217,1411,70,40,51
13508,5,1780,1,784,6,6,983
251311,5,1759,3,836,12,21,887
4116300,5,1755,1,1674,11,2,67
2159528,5,1753,2,1710,11,1,29
18627,5,1743,69,12,5,648,1009
350858,5,1743,8,1429,9,2,295
9223839,5,1712,2,1,1337,10,362
477878,5,1710,23,89,246,29,1323
5648954,5,1703,1,1680,14,2,6
1410664,5,1702,5,48,10,23,1616
2341603,5,1694,1,1597,12,4,80
1507566,5,1693,2,3,1,7,1680
995876,5,1675,1,1582,26,1,65
607314,5,1661,3,6,3,37,1612
4003419,5,1631,3,113,1,6,1508
1583,5,1626,2,776,12,2,834
3874623,5,1602,157,1389,6,31,19
5389997,5,1595,3,20,3,5,1564
1427878,5,1590,2,1323,130,3,132
87189,5,1589,2,338,28,44,1177
12950,5,1586,4,1296,9,2,275
4989676,5,1583,83,55,95,1249,101
989121,5,1581,13,1524,9,3,32
39430,5,1578,1,177,6,3,1391
23354,5,1577,4,148,53,44,1328
562459,5,1569,5,15,25,4,1520
3255455,5,1567,1,8,1548,5,5
3711162,5,1566,2,2,1,80,1481
192373,5,1543,16,9,1513,2,3
104349,5,1540,52,715,19,144,610
23528,5,1537,1,1268,124,6,138
1715121,5,1532,3,1470,10,36,13
772035,5,1531,1,1422,9,19,80
1221571,5,1530,2,18,917,479,114
7666442,5,1525,1,10,1503,1,10
2144390,5,1524,161,13,10,19,1321
37213,5,1522,121,173,227,13,988
2082673,5,1520,1,1367,27,11,114
1447509,5,1519,1,1438,2,2,76
9624435,5,1513,16,1463,24,4,6
5924562,5,1513,82,1404,18,1,8
690854,5,1509,1,1483,1,1,23
633183,5,1493,3,1458,13,4,15
5090771,5,1488,7,1407,10,1,63
6219979,5,1484,5,5,19,8,1447
271415,5,1468,8,142,24,1271,23
7460777,5,1466,2,38,40,1376,10
223992,5,1465,5,299,14,18,1129
1496715,5,1453,1,1426,5,1,20
1038015,5,1452,1,1429,16,4,2
5176071,5,1449,2,29,2,21,1395
671858,5,1443,2,53,1380,1,7
4984832,5,1436,1,5,1372,21,37
16076,5,1432,13,14,22,21,1362
7388477,5,1432,1368,48,1,4,11
159145,5,1430,3,799,40,65,523
1197518,5,1412,1,17,1,3,1390
9455659,5,1411,9,20,2,1367,13
722762,5,1405,1,1211,16,2,175
1902010,5,1404,1,705,242,87,369
10262805,5,1394,77,1141,62,26,88
139985,5,1391,18,147,842,64,320
144424,5,1381,2,38,1,1,1339
5525824,5,1381,10,32,2,1227,110
1348195,5,1376,1,1314,25,4,32
3636601,5,1354,2,40,136,26,1150
1175077,5,1348,1,4,1,3,1339
5353753,5,1347,23,24,5,2,1293
7215091,5,1346,4,1304,9,12,17
10431574,5,1344,2,1208,113,5,16
3288890,5,1331,15,61,37,1060,158
7108653,5,1324,41,1216,9,54,4
1945651,5,1322,1,1284,10,2,25
1744834,5,1321,220,3,1,3,1094
1206267,5,1318,1,1166,8,7,136
6243352,5,1317,21,1036,15,241,4
9153448,5,1314,1,1294,14,2,3
67579,5,1295,408,420,7,7,453
642706,5,1295,4,79,712,17,483
50079,5,1294,2,1051,3,1,237
207421,5,1288,9,59,930,26,264
246342,5,1286,2,584,6,3,691
1060350,5,1284,1134,74,12,4,60
10549281,5,1283,2,3,2,934,342
14860,5,1277,21,222,243,7,784
14251221,5,1267,1,1248,7,2,9
421018,5,1260,1,4,1244,8,3
2333499,5,1252,1,3,1,3,1244
2282634,5,1251,1,202,3,27,1018
1322268,5,1250,4,3,1,4,1238
3141234,5,1246,2,14,1226,3,1
1440565,5,1242,46,295,818,23,60
15168,5,1239,11,20,69,3,1136
353802,5,1233,1,1115,13,1,103
1461050,5,1233,1,20,1206,4,2
387194,5,1228,7,1176,16,2,27
6695924,5,1215,1,1201,11,1,1
833073,5,1210,1,5,2,1,1201
236465,5,1206,5,8,1062,25,106
5037551,5,1206,5,1106,7,6,82
1832058,5,1198,736,319,7,16,120
6513921,5,1195,1,1134,43,12,5
6587650,5,1192,1,47,9,1125,10
1229023,5,1191,1,999,15,3,173
34088,5,1190,15,825,42,27,281
19679,5,1189,6,4,1157,1,21
100297,5,1180,281,318,10,30,541
1054558,5,1180,3,5,2,34,1136
2438423,5,1180,1,1114,2,2,61
10770370,5,1178,2,152,1,18,1005
8198946,5,1177,4,37,4,1018,114
3558960,5,1173,4,971,58,5,135
2658050,5,1168,1151,5,6,1,5
1968,5,1165,1009,133,7,7,9
2497859,5,1160,1,10,1078,61,10
119549,5,1155,1,1086,16,6,46
1832636,5,1150,2,72,3,4,1069
634824,5,1147,26,755,46,49,271
298053,5,1145,1,944,5,1,194
20862,5,1143,67,411,59,4,602
5108796,5,1138,4,1037,46,4,47
229044,5,1137,1,997,1,3,135
568209,5,1131,2,2,2,18,1107
9833314,5,1130,1,8,2,1093,26
13460933,5,1125,6,26,2,1046,45
10185816,5,1125,3,15,2,1093,12
13464420,5,1124,1,20,18,1076,9
8184139,5,1124,5,1,3,832,283
314291,5,1109,1,92,8,34,974
3527297,5,1108,6,12,2,15,1073
8651601,5,1105,5,16,4,7,1073
103295,5,1089,1,12,1,4,1071
1384539,5,1087,4,76,7,937,63
6167855,5,1087,8,5,1,4,1069
351705,5,1078,1,1039,23,5,10
78722,5,1077,3,12,1,995,66
1172002,5,1077,141,885,2,47,2
691688,5,1070,2,156,811,10,91
167735,5,1058,2,1009,8,9,30
18393,5,1056,5,820,3,1,227
8951377,5,1051,7,1013,22,1,8
1599619,5,1049,6,13,6,4,1020
3297613,5,1044,262,683,55,2,42
1132354,5,1041,1,1029,5,1,5
11882186,5,1037,6,31,24,970,6
53686,5,1029,2,75,12,713,227
125816,5,1027,1,292,14,11,709
934239,5,1026,1,1006,13,3,3
1113772,5,1026,8,940,30,7,41
3160475,5,1026,1,17,1,24,983
905902,5,1021,14,1,3,2,1001
1906307,5,1020,2,995,3,8,12
1351469,5,1016,1,235,775,4,1
1081897,5,1013,3,22,4,3,981
2349407,5,1013,1,831,72,7,102
757508,5,1010,5,653,335,5,12
6336479,5,1005,7,2,1,252,743
2988730,5,1005,989,3,1,6,6
2274212,5,1003,1,910,70,17,5
11619647,5,1003,1,979,10,4,9
2347999,5,998,1,14,1,968,14
7005159,5,996,1,13,11,942,29
3545273,5,985,806,15,2,7,155
438992,5,984,4,766,154,1,59
417194,5,981,4,39,5,5,928
122718,5,979,4,15,2,43,915
740,5,978,1,14,5,2,956
5425825,5,973,1,31,20,883,38
7510657,5,971,1,152,3,1,814
4039431,5,971,11,4,3,87,866
225016,5,969,1,12,1,922,33
5792244,5,963,921,37,2,1,2
4398966,5,962,2,905,5,1,49
2627243,5,962,2,954,3,1,2
2795592,5,961,1,3,1,940,16
5217142,5,959,1,936,8,6,8
10505040,5,951,7,41,3,865,35
609290,5,941,14,21,20,865,21
7429447,5,934,61,712,22,132,7
736079,5,931,1,33,12,844,41
2897748,5,931,5,274,82,406,164
5212614,5,929,446,58,3,35,387
43992,5,927,5,17,2,6,897
1960455,5,926,1,868,4,4,49
349130,5,920,843,2,69,4,2
14955,5,918,6,273,142,28,469
25714,5,917,1,3,1,2,910
14660,5,916,6,25,5,28,852
3483203,5,915,860,45,2,5,3
243782,5,914,9,33,396,162,314
965146,5,912,1,847,5,3,56
11508192,5,912,2,11,9,883,7
466862,5,909,8,4,31,14,852
318749,5,905,1,14,3,1,886
10195153,5,904,5,13,3,95,788
80911,5,902,1,661,23,27,190
67606,5,900,4,93,279,6,518
7132550,5,898,15,53,5,2,823
560648,5,894,5,584,11,5,289
7687666,5,894,3,176,11,654,50
11969817,5,893,3,4,857,27,2
634935,5,892,3,3,2,47,837
400056,5,890,1,14,860,1,14
605134,5,889,1,21,9,819,39
4185234,5,889,2,827,2,38,20
1123226,5,881,1,41,4,15,820
17389,5,879,3,53,4,9,810
464988,5,875,2,6,843,2,22
6429072,5,873,2,26,1,11,833
10527,5,871,4,302,12,16,537
4797603,5,869,2,667,39,150,11
636077,5,864,1,829,29,3,2
1816580,5,863,5,788,59,1,10
3944322,5,863,845,3,2,1,12
180368,5,862,3,25,12,1,821
1205871,5,851,1,728,24,82,16
2830850,5,850,27,174,20,554,75
47773,5,849,4,591,111,2,141
1620671,5,844,2,300,5,2,535
4269535,5,840,6,4,3,68,759
134204,5,836,47,22,5,79,683
3924803,5,836,5,43,2,669,117
397952,5,834,1,1,2,2,828
671543,5,834,12,35,715,3,69
740553,5,831,6,769,22,4,30
1435543,5,829,2,66,42,683,36
1552587,5,828,1,661,123,5,38
367456,5,826,3,372,13,80,358
626692,5,825,4,10,4,11,796
894977,5,824,1,8,6,3,806
1761687,5,824,1,1,820,1,1
138475,5,822,4,307,54,1,456
19410,5,819,54,24,715,5,21
215945,5,818,9,793,7,7,2
13211263,5,817,2,375,173,11,256
2357112,5,817,737,69,2,2,7
1318694,5,814,3,154,3,545,109
4323,5,813,746,22,7,2,36
1375553,5,813,3,761,15,28,6
5625547,5,806,6,784,9,4,3
1138192,5,805,52,418,2,13,320
1675954,5,805,22,690,74,2,17
155819,5,804,1,598,11,1,193
4785185,5,800,737,44,6,6,7
7790376,5,795,1,767,23,2,2
15997509,5,792,3,33,10,739,7
20849135,5,791,19,43,5,700,24
10990737,5,790,1,712,7,6,64
24054,5,789,4,405,233,113,34
95810,5,787,86,153,51,129,368
421195,5,787,5,185,197,46,354
1230836,5,787,1,667,4,4,111
7909676,5,787,5,86,14,630,52
200291,5,786,7,715,19,1,44
334402,5,786,6,266,484,28,2
4989668,5,784,1,134,25,564,60
996493,5,784,1,8,693,2,80
94559,5,783,6,297,144,317,19
1388319,5,781,9,33,5,9,725
1883316,5,778,531,80,2,12,153
3937,5,777,4,88,641,2,42
1690193,5,770,2,11,1,69,687
3574819,5,767,4,125,39,3,596
1110423,5,766,2,79,5,38,642
2185093,5,766,1,753,1,5,6
267540,5,763,11,50,50,14,638
1190388,5,762,2,294,4,50,412
2358409,5,759,1,742,8,2,6
11099213,5,758,4,25,4,715,10
2805154,5,758,1,477,17,13,250
4936904,5,756,2,14,705,4,31
2402272,5,754,12,25,67,357,293
132438,5,753,22,26,2,121,582
1841839,5,752,27,334,151,191,49
1090562,5,747,303,125,6,4,309
2442804,5,747,2,62,516,142,25
1001985,5,743,1,573,8,2,159
44853,5,742,1,80,7,5,649
1031569,5,739,6,678,20,7,28
1979882,5,738,2,12,701,4,19
5724303,5,733,1,684,16,3,29
724039,5,732,9,12,3,8,700
5069957,5,731,368,330,18,3,12
1530814,5,728,1,181,495,9,42
360067,5,726,1,663,8,1,53
1741542,5,725,2,338,59,3,323
3151675,5,724,2,33,685,3,1
603742,5,721,1,5,681,2,32
4237701,5,719,3,7,1,702,6
2060725,5,719,1,11,564,23,120
1428679,5,716,7,185,18,8,498
9204,5,714,11,32,646,2,23
717214,5,712,2,171,367,4,168
18482310,5,711,3,76,2,1,629
15969981,5,711,12,12,6,669,12
2700344,5,709,4,2,1,29,673
14807111,5,708,2,691,2,9,4
5567387,5,707,3,678,15,4,7
7194268,5,707,1,682,15,7,2
747579,5,703,2,529,17,143,12
984823,5,703,12,83,238,5,365
6126373,5,698,1,679,3,3,12
533120,5,696,1,10,1,2,682
1191247,5,693,1,17,1,5,669
22483,5,691,1,33,633,12,12
978917,5,690,8,255,28,3,396
557445,5,688,1,603,9,4,71
135978,5,687,1,595,12,4,75
11816733,5,686,2,20,1,658,5
324584,5,683,2,113,2,5,561
18043665,5,683,3,28,2,649,1
6567275,5,682,1,667,9,1,4
887539,5,681,2,654,6,13,6
8160318,5,678,1,56,2,15,604
993547,5,674,1,199,12,6,456
467473,5,673,2,178,3,11,479
611545,5,672,1,75,2,23,571
2501279,5,672,47,9,3,134,479
1156452,5,671,1,5,1,4,660
3494754,5,669,658,5,1,2,3
6936103,5,664,3,13,47,599,2
188331,5,662,2,250,271,6,133
269970,5,662,10,349,166,36,101
3148807,5,660,1,616,38,2,3
472495,5,657,12,251,92,39,263
797495,5,656,49,421,84,6,96
4114907,5,656,2,645,4,1,4
2592042,5,654,4,639,1,1,9
5747944,5,652,13,25,6,586,22
1333975,5,650,4,23,611,1,11
6049604,5,650,9,60,15,543,23
2836621,5,650,426,69,39,36,80
3385212,5,650,6,4,622,3,15
5832311,5,644,2,140,399,99,4
1560062,5,643,377,7,1,13,245
592253,5,641,1,633,1,1,5
3348604,5,639,7,43,4,515,70
438581,5,638,4,603,17,1,13
52598,5,636,1,6,2,1,626
2302032,5,636,2,5,2,6,621
712995,5,635,627,1,5,1,1
504554,5,633,2,305,101,170,55
431012,5,632,2,31,1,1,597
4420967,5,628,1,1,1,4,621
2054602,5,628,1,522,53,46,6
2424,5,626,2,186,18,2,418
1137174,5,625,13,135,66,6,405
5221149,5,623,8,62,222,2,329
1094597,5,622,1,16,465,27,113
14697693,5,621,3,16,9,585,8
14357,5,620,2,512,12,16,78
415448,5,619,37,408,81,9,84
5189811,5,617,54,316,11,94,142
12121419,5,617,1,8,605,1,2
676558,5,615,1,1,611,1,1
19144428,5,615,28,19,3,563,2
7237613,5,614,1,54,1,7,551
24181,5,612,1,437,2,1,171
3604745,5,612,594,4,1,4,9
15969041,5,611,13,1,2,477,118
4519059,5,610,1,22,1,3,583
7586,5,609,3,568,4,8,26
9576186,5,609,1,520,2,23,63
2970947,5,609,6,161,199,10,233
10497483,5,608,5,24,1,4,574
7466674,5,608,2,20,17,547,22
5106574,5,607,5,1,592,7,2
4495081,5,606,10,32,16,531,17
252228,5,603,27,529,10,9,28
57191,5,601,18,306,7,4,266
1348324,5,601,1,589,5,1,5
9990,5,600,7,108,273,2,210
57611,5,599,1,138,1,3,456
1537195,5,598,12,8,2,555,21
1549165,5,598,2,69,10,491,26
880990,5,597,7,8,15,2,565
10383250,5,597,2,17,1,569,8
3382204,5,597,2,589,2,1,3
3399356,5,596,2,18,2,8,566
448625,5,595,5,51,435,45,59
1663001,5,595,1,216,13,21,344
3287566,5,595,1,4,2,1,587
5012441,5,594,2,3,584,3,2
2694184,5,594,2,141,2,4,445
1594359,5,593,1,565,16,7,4
842935,5,589,6,27,1,1,554
5341577,5,589,3,119,11,413,43
783412,5,588,134,15,111,6,322
3757232,5,588,2,566,9,1,10
4001177,5,586,354,12,78,8,134
157957,5,584,1,212,9,29,333
2069605,5,584,2,461,99,6,16
414062,5,580,1,538,20,4,17
643591,5,580,2,1,26,1,550
5772882,5,580,1,16,477,5,81
2363712,5,579,8,29,4,4,534
610979,5,578,10,2,16,7,543
3761628,5,578,1,392,7,9,169
246461,5,577,4,6,549,9,9
966023,5,577,5,439,3,117,13
4700922,5,576,1,508,27,1,39
1008999,5,576,1,556,10,3,6
2937831,5,576,540,27,1,2,6
4573247,5,573,13,3,555,1,1
588916,5,572,2,332,3,1,234
1306419,5,570,1,7,524,23,15
10189459,5,570,6,44,3,503,14
5510627,5,567,2,1,2,4,558
4833,5,566,2,118,12,2,432
102937,5,566,5,208,61,5,287
12738750,5,565,6,1,547,9,2
2252113,5,565,6,94,458,2,5
2548,5,564,1,9,1,1,552
5237560,5,564,166,8,387,1,2
2900374,5,564,2,210,308,40,4
2998271,5,564,19,254,27,6,258
1399491,5,563,10,474,21,12,46
1796579,5,560,3,12,462,54,29
635981,5,559,1,362,3,5,188
2864740,5,559,6,327,44,4,178
2451726,5,558,1,29,1,3,524
28376,5,555,5,315,191,36,8
