graph,n_nodes,n_edges,Q,n_communities,nmi,n_taxonomy_overlap
ai_ml,6879,60462,0.34564857603244004,5,0.20879896281904844,229
web_frontend,17121,184111,0.2592320488327936,8,0.20337049696748097,625
mobile,14711,159879,0.4220538203510747,14,0.4260801893529087,363
cloud_devops,8108,70846,0.4822195336735376,9,0.35635658472918497,550
databases,9925,91234,0.3619877386789173,9,0.405857114101741,312
global,44324,630505,0.5123018340960748,71,0.719344779825525,912
