user_id,betweenness,out_degree,in_degree,total_degree
3732271,0.12463724881915102,19716,0,19716
3962914,0.04398746625432706,9597,41,9638
516548,0.040789258872987746,5565,0,5565
1855677,0.030114827615352446,5088,24,5112
2372064,0.02449908892791672,3869,16,3885
190277,0.01752411816171361,3574,84,3658
3358272,0.016741996788961634,4723,32,4755
903061,0.014240503464345113,3167,51,3218
2901002,0.013730017994988237,16822,27,16849
7964527,0.013278457901085571,7653,28,7681
1412059,0.011907826478483083,2426,13,2439
6574038,0.011363285231036916,2937,138,3075
12158757,0.011077991426127393,3690,42,3732
12500315,0.010755755126521544,4284,0,4284
143305,0.010635109098129971,2287,55,2342
4983450,0.009799526379438522,2578,5,2583
1270695,0.008717702833482506,2315,20,2335
8380272,0.008330832953911838,2963,6,2969
1000343,0.007707983637847536,812,383,1195
2270475,0.007565898726568603,1302,119,1421
13321647,0.007226473001322158,2806,134,2940
496803,0.006796904605853704,1732,31,1763
1100107,0.006511993475019691,1752,132,1884
680068,0.0064645954960015715,1388,51,1439
2080848,0.005899937339947793,1410,139,1549
8245406,0.005785140013486593,3196,5,3201
5635580,0.005677601673390905,1596,43,1639
3063910,0.0053867207192896905,1568,81,1649
1838509,0.005327395628130585,1734,76,1810
496488,0.005129046236046299,1393,71,1464
12993861,0.005127858267594903,3065,2,3067
5964557,0.0050359047924534404,1159,49,1208
322912,0.0048977439573138415,1110,118,1228
211116,0.004796259593399372,1256,62,1318
7128934,0.004773456914854148,1081,69,1150
1609428,0.004495100165433296,142,374,516
14282714,0.004443344792993431,1308,103,1411
2336654,0.004382790211937034,4177,214,4391
4552295,0.004355124438124734,1182,44,1226
1457051,0.004194732505423725,1518,2,1520
707145,0.004136411998236747,69,388,457
324364,0.004112924169227814,1272,18,1290
1191259,0.0039666502249504285,1088,10,1098
13460602,0.003940355246428684,1278,59,1337
4238408,0.0038785706739901736,4617,0,4617
1863229,0.003875196154953184,1798,0,1798
11564487,0.003776982484095088,1146,30,1176
3832970,0.003760183337233072,1556,0,1556
8039978,0.0035254288757228616,1079,183,1262
1968,0.0035138175719120427,1009,44,1053
