community,n_questions,PC1,PC2
ai_ml,1212671,-0.03817960793412838,-0.003140187916846328
web_frontend,4660782,0.1791085026261377,0.0022691385105603804
mobile,2873180,-0.0479097176725529,-0.08028230509857208
cloud_devops,858785,-0.040035062114108094,-0.005620260948057331
databases,1968874,-0.052984114905348316,0.08677361545291522
